obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
200, 204.0, 1156203, 223421, 31012, 38289, 15430, 29728, 26713, 11904, 26, 30, NA, 1532700,  X
201, 205.0, 1630980, 317007, 204027, 13752, 131363, 318019, 118850, 19452, 43, 37, NA, 2753450,  X
202, 206.0, 304247, 54535, 4233, 11291, 5534, 16311, 3288, 1128, 56, 30, NA, 400567,  X
203, 207.0, 634612, 53397, 3273, 1606, 6728, 4265, 1678, 299, 53, 14, NA, 705858,  X
204, 208.0, 29259, 28894, 13398, 4628, 9817, 5374, 8468, 2592, 53, 20, NA, 102430,  X
205, 209.0, 36718, 10144, 41766, 8447, 8855, 5394, 4952, 1360, 37, 38, NA, 117636,  X
206, 210.0, 85566, 41960, 6539, 1675, 9755, 3962, 2604, 1073, 26, 35, NA, 153134,  X
207, 211.0, 32706, 37340, 12000, 5381, 10596, 6828, 2147, 1845, 30, 50, NA, 108843,  X
208, 212.0, 92247, 26839, 24382, 7380, 11386, 10869, 3148, 3270, 35, 53, NA, 179521,  X
209, 213.0, 44323, 31205, 7239, 13536, 4921, 17606, 2601, 3719, 48, 38, NA, 125150,  X
210, 214.0, 260143, 93414, 11401, 6428, 4688, 9800, 5123, 1880, 50, 38, NA, 392877,  X
211, 215.0, 33492, 18305, 22639, 11892, 13400, 7505, 3803, 2023, 51, 48, NA, 113059,  X
212, 216.0, 43374, 34795, 6413, 9744, 10857, 13174, 3296, 2117, 54, 38, NA, 123770,  X
213, 217.0, 32407, 20898, 12286, 13982, 9187, 8305, 5521, 1231, 48, 43, NA, 103817,  X
214, 218.0, 40513, 15964, 6439, 6602, 6705, 9699, 1888, 1193, 61, 51, NA, 89003,  X
215, 219.0, 49888, 26001, 8220, 22818, 5106, 29411, 2353, 2927, 74, 47, NA, 146724,  X
216, 220.0, 56383, 51422, 50792, 6427, 12622, 6967, 1748, 4391, 60, 56, NA, 190752,  X
217, 221.0, 154598, 28809, 24722, 13741, 3544, 9036, 2005, 1080, 56, 60, NA, 237535,  X
218, 222.0, 41598, 28467, 3802, 11274, 10789, 5589, 4630, 1393, 47, 57, NA, 107542,  X
219, 223.0, 20858, 13634, 6332, 1360, 4297, 2781, 1897, 3594, 34, 56, NA, 54753,  X
220, 224.0, 20995, 25060, 2341, 5414, 8560, 3472, 3095, 1547, 37, 43, NA, 70484,  X
221, 225.0, 22882, 40591, 11314, 7723, 2212, 3692, 2331, 3356, 29, 37, NA, 94101,  X
222, 226.0, 63452, 64366, 9878, 12270, 10141, 7638, 5790, 2753, 26, 34, NA, 176288,  X
223, 227.0, 84300, 15083, 23073, 23669, 6370, 7490, 3765, 3099, 26, 47, NA, 166849,  X
224, 228.0, 157753, 83002, 26826, 12736, 14460, 13115, 5364, 1416, 26, 51, NA, 314672,  X
225, 229.0, 30409, 26480, 15416, 18386, 10881, 12658, 1353, 2299, 38, 54, NA, 117882,  X
226, 229.9, 43013, 84107, 9595, 12552, 14495, 13423, 3057, 5967, 43, 53, NA, 186209,  X
227, 231.0, 33444, 47490, 26747, 18806, 12250, 10347, 2421, 1188, 43, 44, NA, 152693,  X
228, 232.0, 36361, 40940, 13963, 25193, 9397, 13270, 2272, 2769, 47, 50, NA, 144165,  X
229, 233.0, 28222, 45682, 22459, 17919, 10503, 2970, 2721, 4058, 29, 48, NA, 134534,  X
230, 234.0, 16162, 90021, 12394, 12095, 8565, 17075, 6063, 1205, 30, 48, NA, 163580,  X
231, 235.0, 8686, 61120, 6972, 19996, 7157, 5623, 3124, 3092, 24, 43, NA, 115770,  X
232, 235.9, 23766, 76415, 15237, 17435, 12378, 9501, 12131, 2774, 20, 38, NA, 169637,  X
233, 237.0, 84077, 24025, 8838, 1006, 1215, 833, 615, 444, 16, 35, NA, 121053,  X
234, 238.0, 30664, 28055, 12022, 3184, 3024, 6288, 2833, 2773, 14, 41, NA, 88843,  X
235, 239.0, 42445, 80737, 4260, 4468, 4928, 9965, 6791, 3296, 21, 27, NA, 156890,  X
236, 240.0, 646483, 80208, 3003, 11232, 20869, 12344, 5524, 3250, 24, 20, NA, 782913,  X
237, 241.0, 139184, 40955, 9540, 5238, 13987, 8589, 2674, 2744, 43, 14, NA, 222911,  X
238, 242.0, 68311, 65907, 39372, 4101, 19123, 15812, 5507, 1741, 43, 14, NA, 219874,  X
239, 242.9, 70267, 24430, 21616, 15706, 5529, 3131, 5908, 2515, 35, 38, NA, 149102,  X
240, 244.0, 51819, 34223, 8057, 28539, 8100, 11201, 4033, 2694, 37, 53, NA, 148666,  X
241, 245.0, 47622, 50145, 14317, 22431, 6266, 42605, 12682, 2233, 47, 56, NA, 198301,  X
242, 246.0, 403275, 19711, 3190, 2484, 1760, 4481, 1338, 494, 48, 51, NA, 436733,  X
243, 247.0, 65506, 47757, 19516, 12567, 5175, 5990, 2319, 3597, 53, 44, NA, 162427,  X
244, 248.0, 111595, 127558, 64613, 11549, 7274, 5491, 5080, 2302, 37, 43, NA, 335462,  X
245, 249.0, 40990, 62748, 10625, 2794, 7729, 4517, 1776, 627, 14, 37, NA, 131806,  X
